player,season,top10_home_games_played,top10_home_points_avg,top10_home_rebounds_avg,top10_home_assists_avg,top10_home_steals_avg,top10_home_blocks_avg,top10_home_turnovers_avg,top10_away_games_played,top10_away_points_avg,top10_away_rebounds_avg,top10_away_assists_avg,top10_away_steals_avg,top10_away_blocks_avg,top10_away_turnovers_avg,mid_home_games_played,mid_home_points_avg,mid_home_rebounds_avg,mid_home_assists_avg,mid_home_steals_avg,mid_home_blocks_avg,mid_home_turnovers_avg,mid_away_games_played,mid_away_points_avg,mid_away_rebounds_avg,mid_away_assists_avg,mid_away_steals_avg,mid_away_blocks_avg,mid_away_turnovers_avg,bottom10_home_games_played,bottom10_home_points_avg,bottom10_home_rebounds_avg,bottom10_home_assists_avg,bottom10_home_steals_avg,bottom10_home_blocks_avg,bottom10_home_turnovers_avg,bottom10_away_games_played,bottom10_away_points_avg,bottom10_away_rebounds_avg,bottom10_away_assists_avg,bottom10_away_steals_avg,bottom10_away_blocks_avg,bottom10_away_turnovers_avg
Kevon Looney,2023-24,12.0,2.92,4.92,1.5,0.25,0.25,0.0,11.0,5.27,5.18,2.36,0.27,0.36,0.0,10.0,4.0,4.8,1.8,0.2,0.2,0.0,13.0,4.46,5.92,1.69,0.46,0.38,0.0,15.0,5.47,7.0,1.8,0.33,0.2,0.0,13.0,4.69,5.62,1.69,0.69,0.92,0.0
Brook Lopez,2023-24,13.0,13.0,6.54,2.23,0.38,1.54,0.0,10.0,13.7,5.4,2.0,0.6,2.5,0.0,18.0,12.17,4.78,1.67,0.67,3.22,0.0,15.0,10.53,4.13,1.07,0.47,2.13,0.0,11.0,15.82,4.91,1.09,0.82,2.27,0.0,12.0,11.08,5.67,1.67,0.33,2.42,0.0
Kevin Love,2023-24,7.0,7.57,9.43,3.14,0.29,0.14,0.0,6.0,8.83,6.83,2.5,0.5,0.0,0.0,15.0,8.67,5.13,2.33,0.53,0.13,0.0,13.0,8.62,4.38,1.46,0.08,0.15,0.0,6.0,9.5,6.5,2.0,0.33,0.33,0.0,8.0,10.0,7.25,1.5,0.25,0.38,0.0
Kyle Lowry,2023-24,5.0,13.8,2.6,3.8,1.6,0.8,0.0,10.0,12.3,4.2,4.4,0.7,0.2,0.0,13.0,8.69,3.77,3.92,0.62,0.23,0.0,16.0,6.12,2.75,4.06,1.0,0.44,0.0,9.0,3.67,2.89,4.44,1.33,0.44,0.0,7.0,7.29,2.86,4.86,1.14,0.14,0.0
Seth Lundy,2023-24,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.67,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Lyles,2023-24,9.0,7.78,5.33,1.11,0.11,0.56,0.0,12.0,6.92,3.83,1.0,0.5,0.08,0.0,8.0,8.38,3.88,1.5,0.25,0.38,0.0,8.0,9.12,4.38,1.38,0.38,0.12,0.0,12.0,6.5,3.58,1.42,0.0,0.25,0.0,9.0,5.33,6.0,1.11,0.56,0.67,0.0
Sandro Mamukelashvili,2023-24,8.0,6.12,5.0,1.75,0.0,0.38,0.0,9.0,4.33,4.11,1.56,0.44,0.44,0.0,4.0,3.75,3.25,1.0,0.25,0.75,0.0,9.0,2.33,2.11,0.44,0.11,0.11,0.0,7.0,6.29,2.43,0.86,0.0,0.0,0.0,9.0,2.44,2.33,0.78,0.11,0.11,0.0
Terance Mann,2023-24,16.0,7.31,2.56,1.25,0.75,0.19,0.0,13.0,8.46,5.0,1.46,0.38,0.08,0.0,9.0,10.11,2.89,1.44,0.33,0.22,0.0,10.0,8.6,2.7,1.6,0.1,0.2,0.0,13.0,10.0,3.77,2.15,0.54,0.31,0.0,14.0,8.86,3.29,1.64,1.07,0.21,0.0
Tre Mann,2023-24,9.0,6.89,2.78,3.56,0.56,0.11,0.0,9.0,13.44,4.89,4.44,1.33,0.0,0.0,8.0,9.62,4.25,4.38,1.12,0.0,0.0,5.0,8.4,2.8,5.2,2.2,0.0,0.0,7.0,8.14,3.14,3.29,1.29,0.29,0.0,3.0,7.67,3.33,3.0,1.67,0.0,0.0
Lauri Markkanen,2023-24,8.0,20.88,9.0,1.62,1.0,0.25,0.0,8.0,24.62,9.38,2.75,0.62,1.0,0.0,9.0,25.0,8.33,2.11,0.78,0.22,0.0,9.0,22.0,6.22,1.89,1.0,0.22,0.0,11.0,26.0,8.73,2.0,1.0,0.91,0.0,10.0,20.5,7.5,1.7,1.0,0.2,0.0
Naji Marshall,2023-24,12.0,4.75,2.92,1.58,0.42,0.33,0.0,11.0,9.27,4.36,1.64,0.91,0.09,0.0,10.0,8.9,3.3,2.4,0.9,0.3,0.0,13.0,5.38,4.15,1.92,0.54,0.15,0.0,12.0,6.33,2.75,1.42,0.83,0.08,0.0,8.0,9.0,4.62,3.12,1.0,0.12,0.0
Caleb Martin,2023-24,12.0,10.42,3.67,2.42,0.58,0.5,0.0,6.0,9.0,4.0,1.83,1.5,0.5,0.0,16.0,10.88,4.81,2.62,0.75,0.5,0.0,13.0,10.31,4.54,2.15,0.54,0.38,0.0,8.0,7.25,4.12,1.62,0.75,0.12,0.0,9.0,10.56,4.89,2.22,0.67,0.67,0.0
